ligandId|ligandName
0BE|BERYLLIUM 
2FK|SUPEROXO ION
3CO|COBALT (III) ION
3NI|NICKEL (III) ION
4MO|MOLYBDENUM(IV) ION
4PU|PLUTONIUM ION
4TI|TITANIUM ION
6MO|MOLYBDENUM(VI) ION
AG|SILVER ION
AL|ALUMINUM ION
AM|AMERICIUM ION
AR|ARGON 
ARS|ARSENIC 
AU3|GOLD 3+ ION
AU|GOLD ION
AZI|AZIDE ION
BA|BARIUM ION
BR|BROMIDE ION
BS3|Bismuth(III) ION
CA|CALCIUM ION
CD|CADMIUM ION
CE|CERIUM (III) ION
CF|CALIFORNIUM ION
CL|CHLORIDE ION
CO|COBALT (II) ION
CR|CHROMIUM ION
CS|CESIUM ION
CU1|COPPER (I) ION
CU3|COPPER (III) ION
CUA|DINUCLEAR COPPER ION
CU|COPPER (II) ION
D3O|trideuteriooxidanium 
D8U|deuterium(1+)
DY|DYSPROSIUM ION
ER3|ERBIUM (III) ION
EU3|EUROPIUM (III) ION
EU|EUROPIUM ION
FE2|FE (II) ION
FE|FE (III) ION
F|FLUORIDE ION
GA|GALLIUM (III) ION
GD3|GADOLINIUM ION
GD|GADOLINIUM ATOM
HDZ|NITROGEN MOLECULE
HGN|mercuriomercury 
HG|MERCURY (II) ION
HO3|HOLMIUM (III) ATOM
HO|HOLMIUM ATOM
I2I|molecular iodine
I3M|Tri-iodode Anion
IN|INDIUM (III) ION
IOD|IODIDE ION
IR3|IRIDIUM (III) ION
IR|IRIDIUM ION
K|POTASSIUM ION
KR|KRYPTON 
LA|LANTHANUM (III) ION
LI|LITHIUM ION
LU|LUTETIUM (III) ION
MG|MAGNESIUM ION
MN3|MANGANESE (III) ION
MN|MANGANESE (II) ION
MO|MOLYBDENUM ATOM
NA|SODIUM ION
ND4|AMMONIUM CATION WITH D
NI|NICKEL (II) ION
O|OXYGEN ATOM
OS4|OSMIUM 4+ ION
OS|OSMIUM ION
OXY|OXYGEN MOLECULE
PB|LEAD (II) ION
PD|PALLADIUM ION
PER|PEROXIDE ION
PR|PRASEODYMIUM ION
PS9|octathiocane 
PT4|PLATINUM (IV) ION
PT|PLATINUM (II) ION
RB|RUBIDIUM ION
RE|RHENIUM 
RH3|RHODIUM(III) ION
RH|Rhodium 
RU|RUTHENIUM ION
SB|ANTIMONY (III) ION
SE|SELENIUM ATOM
SM|SAMARIUM (III) ION
SR|STRONTIUM ION
TA0|Tantalum 
TB|TERBIUM(III) ION
TE|TELLURIUM 
TH|THORIUM ION
TL|THALLIUM (I) ION
U1|URANIUM ATOM
UNL|Unknown ligand
UNX|UNKNOWN ATOM OR ION
V|VANADIUM ION
W|TUNGSTEN ION
XE|XENON 
Y1|YTTRIUM ION
YB2|YTTERBIUM (II) ION
YB|YTTERBIUM (III) ION
YT3|YTTRIUM (III) ION
ZCM|CURIUM ION
ZN|ZINC ION
ZR|ZIRCONIUM ION
